id	race	gender	sex.worker	pimp	sex.work.client	drug.dealer	drug.cook	thief	retired	housewife	disabled	unemployed	homeless
2407	4	0	0	0	0	0	0	0	0	0	0	0	0
2408	4	1	0	0	0	0	0	0	0	0	0	0	0
2409	4	0	0	0	0	0	0	0	0	0	0	0	0
2410	4	1	0	0	0	0	0	0	0	0	0	0	0
2411	4	1	0	0	0	0	0	0	1	0	0	0	0
2412	4	0	0	0	0	0	0	0	1	0	0	0	0
2413	4	1	0	0	0	0	0	0	0	0	0	0	0
2414	4	0	0	0	0	0	0	0	0	0	1	0	0
2415	2	1	0	0	0	0	0	0	0	0	1	0	0
2416	2	0	0	0	0	0	0	0	0	0	0	0	0
2417	4	1	0	0	0	0	0	0	0	0	0	0	0
2418	4	1	0	0	0	0	0	0	0	0	0	0	0
2419	4	0	0	0	0	0	0	0	0	0	0	0	0
2420	2	0	0	0	0	0	0	0	0	0	0	1	0
2421	4	0	0	0	0	0	0	0	0	0	0	0	0
2422	2	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
2423	4	0	0	0	0	0	0	0	0	0	0	0	0
2424	4	0	0	0	0	0	0	0	0	0	0	0	0
2425	4	1	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
2426	4	1	0	0	0	0	0	0	0	0	0	0	0
2427	4	0	0	0	0	0	0	0	0	0	0	0	0
2428	4	1	0	0	0	0	0	0	0	1	0	0	0
2429	4	1	0	0	0	0	0	0	0	0	0	0	0
2430	4	0	0	0	0	0	0	0	0	0	0	0	0
2431	4	1	0	0	0	0	0	0	0	0	0	0	0
2432	4	0	0	0	0	0	0	0	0	0	0	0	0
2433	4	1	1	0	0	0	0	0	0	0	0	0	0
2434	4	0	0	0	0	0	0	0	0	0	0	0	0
2435	4	1	0	0	0	0	0	0	0	1	0	0	0
2436	4	1	0	0	0	0	0	0	0	0	0	0	0
2437	4	1	0	0	0	0	0	0	0	0	0	0	0
2438	2	1	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA
2439	4	0	0	0	0	0	0	0	0	0	0	0	0
2440	4	0	0	0	0	0	0	0	0	0	0	0	0
2441	4	0	0	0	0	0	0	0	0	0	0	1	0
2442	4	1	0	0	0	0	0	0	0	0	0	0	0
2443	4	1	0	0	0	0	0	0	0	0	0	1	0
2444	2	0	0	0	0	1	0	0	0	0	0	0	0
2445	4	0	0	0	0	0	0	0	0	0	1	0	0
2446	4	1	0	0	0	0	0	0	0	0	0	0	0
2447	4	0	0	0	0	0	0	0	0	0	0	0	0
2448	2	0	0	0	0	0	0	0	0	0	0	0	0
2449	2	1	0	0	0	0	0	0	0	0	0	0	0
2450	2	0	0	0	0	0	0	0	0	0	0	0	0
2451	2	0	0	0	0	0	0	0	0	0	0	0	0
2452	2	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
2453	2	0	0	0	0	0	0	0	0	0	0	0	0
2454	2	1	0	0	0	0	0	0	0	1	0	0	0
2455	2	1	0	0	0	0	0	0	0	0	0	0	1
2456	2	0	0	0	0	0	0	0	0	0	0	1	0
2457	2	0	0	0	0	0	0	0	0	0	0	0	0
2458	2	0	0	0	0	0	0	0	0	0	0	0	0
2459	2	0	0	0	0	1	0	0	0	0	0	0	0
